id,qid1,qid2,question1,question2,is_duplicate
123354,244436,244437,What motivates you the most in life?,What motivates you in your daily life?,1
284592,559343,559344,Should I still apply for Stanford?,When should I apply for Stanford?,0
94793,188171,188172,How can I overcome this fear?,What should I do to overcome this fear?,0
27647,55129,55130,Is it actually possible to be stranded on a deserted island?,What were the 80s/90s equivalent of vines/memes?,0
380501,744178,744179,How do I overcome social anxiety in public places?,What are the best ways to overcome my social anxiety?,1
47843,95255,95256,"What are the ""unwritten rules"" of Mumbai that everyone needs to follow?","What are the ""unwritten rules"" of Chicago that everyone needs to follow?",0
43626,86881,86882,How difficult is it to learn English?,What's the most difficult language for a native English speaker to learn and why?,0
211229,416631,416632,What was the real reason for 2008 financial crisis?,What are the reasons and causes of the 2008 financial crisis?,1
70685,140492,140493,"How many species of plants, bacteria and animals exist that we do not know about?",How many species of animals exist?,0
264389,520186,520187,What is the definition of linear?,What is the definition of linear lines?,0
250142,492491,492492,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,How do the real estate prices get affected by the Indian Government's decision to de-monetize 500 and 1000 notes?,1
28232,56292,56293,"Why does society prefer to idolise movies stars and models over people who do great things, like scientists or humanitarians?","Why did movie actors and voice-over 'artists' of newsreels and the like (in the 1930s or so) used to speak in much harder, harsher ways than similar people do today? Or is it just me?",0
132498,262420,262421,Which is the best QuickBooks data recovery support number in New York?,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,1
296187,581804,581805,"Will it be an exact ideal move by India, declaring war against Pakistan?",Should India declare war against Pakistan?,1
301253,591642,591643,Which company is best for condam?,Which company is best?,0
246644,485705,485706,What universities does Winland Electronics recruit new grads from? What majors are they looking for?,What universities does Electronics for Imaging recruit new grads from? What majors are they looking for?,0
199630,393962,393963,What went wrong with Cyrus Mistry as Tata Group chairman and why was he ousted?,Why TATA sons replaced Cyrus Mistry to Ratan TATA?,1
29946,59697,59698,What's the best way to hack an instagram account?,How can I get my hacked Instagram account?,1
384923,752644,752645,What is the best way to personally develop yourself?,How does personality develop?,0
133863,265092,265093,What are best programming WhatsApp status?,What are some best programmer WhatsApp status?,1
288067,566069,566070,What is the best programming language I should learn as a beginner?,Which probably would be a better programming language to start up being a beginner?,1
219553,432837,432838,My US citizen boyfriend who is a software engineer with a MS in Computer Science is unable to get a job in his field. Is it because he is being undermined by people on H1B's?,What job can one expect if he completes his MS in electrical engineering (communication concentration) from the US Universities? Is there any chance that he can get a job in the US companies?,0
8364,16706,16707,What is the least invested and best startup business?,What is the best business to do without investment or little investment?,0
214685,423350,423351,How do you install CyanogenMod on an Android which is not supported by it?,Can I install CyanogenMod Operating System on my OnePlus Two (not OnePlus One) Android device and How?,0
52462,104400,104401,How do I build a home gym on a budget?,Home Gym: What should I buy first? A pull up bar or a squat rack? What is more essential?,0
177851,351322,351323,What are the best water pumps for home use?,Home Renovation: How to pump water out of a lake?,0
265436,522222,522223,"Why is it that sometimes we can't trust ourselves, and other times we trust our inner voice, even if it is wrong?",Does our inner voice get older along with us?,0
269101,529313,529314,Why do all the Android devices have the same type of charging slot?,What is the reasons behind the same charging port in almost all Android devices even companies are different?,1
163455,323143,323144,"I want to buy a flip phone just for calling purpose, my budget is under 2k ,suggest me a good phone.",Was George Osbourne really THAT bad?,0
126478,250578,250579,What is purpose of life?,What is the GRAND purpose of life?,1
316317,12535,620718,What are some examples of passive-aggressive behavior?,What is passive aggressive behaviour?,0
143940,284861,284862,How good is the general public’s understanding of how to evaluate officer-involved shootings?,In movies how do they shoot scenes which involve blood? For ex: how do they shoot blood oozing out of the body after shooting or stabbing?,0
223867,441233,441234,Why is the NYC Fire Department called the FDNY and not the NYFD like the Police Department (NYPD)?,Can any big officer of a department transfer any other officer of the same department?,0
174596,344946,344947,Which are the best dragon ninjas games?,Which are the best ninja dragon games?,1
76660,152319,152320,WhaT are the benefits of eating bananas?,What are advantages of eating bananas?,1
80147,159211,159212,"Assuming the WTC attacks were either foiled or failures, what would the global political landscape look like now?",What would America look like without 9/11?,0
140531,278176,278177,Why did Lata Mangeshkar never marry?,"What is the main reason behind monopoly of Lata Mangeshkar in Indian Cinema from 1950 - 2000? Is it sheer incomparable talent, lack of open socio- cultural opportunities for other females, politics or media?",0
335547,657885,657886,Can your mind really focus on two things at once?,How do I achieve focused state of mind?,0
278191,546945,546946,What are some of the best memes?,What are the best memes on USA?,0
325514,638489,638490,How can I learn digital marketing?,I want to learn Digital Marketing. Where do I start?,1
55231,109889,109890,What investment is required to open a mini supermarket in India?,How can I open a mini supermarket?,0
3250,6499,6500,What are some things women think about men that we probably don't know?,What are some things a men should know about women?,0
402223,785719,785720,Has Terra Nova been cancelled for Season 2 ?,Was Terra Nova renewed for another season in 2014? Why?,0
230781,454758,454759,What is your blood type?,How did blood types evolve?,0
138264,273721,273722,How do some students score very well without studying much?,What should I do if I am not able to study?,0
5717,11426,11427,"Can the level of economic development represent the level of civilization? Assuming your answer is no, explain why?",Can the level of economic development represent the level of civilisation?,1
234224,461466,461467,What is the most common full time job and what is the most common part time job?,What is the difference between part time and full time job?,0
329530,646245,646246,"Do raw materials like coal and iron travel by train-only on land, or do they use trucks and planes too, like Amazon, Ebay, and Jet use?",Do you like traveling by plane?,0
17224,34375,34376,What type of guy should I be?,What type of guy should I find as a husband?,0
319708,627257,627258,Why doesn't Jupiter have a surface that you can stand on?,How close to the surface of Jupiter can a human get?,0
30820,61440,61441,Is it possible for an individual to find a hidden talent within?,How can I find hidden talent inside me?,1
13575,27102,27103,Why do so many people ask things on Quora that they could just as easily Google?,Why are there so many people using Quora to answer questions that can easily be found with a simple Google search?,1
